ID,城市编号,城市,城市经理编号,城市经理,产品编号,日期,销量,识别码
765,C067,郑州市,C-067,王郑州,P001,2018/1/3,27,P001C-067
767,C050,南宁市,C-050,王南宁,P001,2018/1/3,8,P001C-050
769,C005,沧州市,C-005,周沧州,P001,2018/1/3,15,P001C-005
770,C019,福州市,C-019,王福州,P001,2018/1/3,9,P001C-019
771,C043,扬州市,C-043,刘扬州,P001,2018/1/3,22,P001C-043
772,C028,南通市,C-028,王南通,P001,2018/1/3,46,P001C-028
775,C070,西安市,C-072,王西安,P001,2018/1/3,32,P001C-072
776,C069,兰州市,C-069,李兰州,P001,2018/1/3,6,P001C-069
777,C072,贵阳市,C-074,赵贵阳,P001,2018/1/3,42,P001C-074
781,C043,扬州市,C-043,刘扬州,P001,2018/1/4,29,P001C-043
782,C073,昆明市,C-075,李昆明,P001,2018/1/4,4,P001C-075
783,C071,成都市,C-073,陈成都,P001,2018/1/4,98,P001C-073
784,C065,宜昌市,C-065,吴宜昌,P001,2018/1/4,48,P001C-065
785,C036,台州市,C-036,孙台州,P001,2018/1/4,88,P001C-036
788,C014,天津市,C-014,张天津,P001,2018/1/4,75,P001C-014
789,C027,南京市,C-027,李南京,P001,2018/1/4,46,P001C-027
790,C041,徐州市,C-041,孙徐州,P001,2018/1/4,68,P001C-041
791,C033,上海市,C-033,王上海,P001,2018/1/4,97,P001C-033
792,C013,临汾市,C-013,王临汾,P001,2018/1/4,93,P001C-013
793,C012,廊坊市,C-012,王廊坊,P001,2018/1/4,7,P001C-012
794,C073,昆明市,C-075,李昆明,P001,2018/1/4,48,P001C-075
796,C020,杭州市,C-020,张杭州,P001,2018/1/4,55,P001C-020
797,C061,武汉市,C-061,叶武汉,P001,2018/1/4,20,P001C-061
798,C019,福州市,C-019,王福州,P001,2018/1/4,72,P001C-019
799,C042,盐城市,C-042,张盐城,P001,2018/1/4,46,P001C-042
800,C002,长春市,C-002,赵长春,P001,2018/1/4,16,P001C-002
801,C039,无锡市,C-039,吴无锡,P001,2018/1/4,5,P001C-039
802,C028,南通市,C-028,王南通,P001,2018/1/5,15,P001C-028
803,C035,苏州市,C-035,陈苏州,P001,2018/1/5,3,P001C-035
804,C017,安庆市,C-017,郑安庆,P001,2018/1/5,12,P001C-017
805,C048,惠州市,C-048,孙惠州,P001,2018/1/5,70,P001C-048
806,C007,赤峰市,C-007,孙赤峰,P001,2018/1/5,86,P001C-007
809,C027,南京市,C-027,李南京,P001,2018/1/5,83,P001C-027
811,C037,泰州市,C-037,李泰州,P001,2018/1/5,17,P001C-037
814,C006,承德市,C-006,李承德,P001,2018/1/5,6,P001C-006
815,C018,常州市,C-018,张常州,P001,2018/1/5,58,P001C-018
816,C067,郑州市,C-067,王郑州,P001,2018/1/5,23,P001C-067
821,C050,南宁市,C-050,王南宁,P001,2018/1/5,9,P001C-050
822,C025,六安市,C-025,王六安,P001,2018/1/5,85,P001C-025
826,C028,南通市,C-028,王南通,P001,2018/1/5,19,P001C-028
829,C070,西安市,C-072,王西安,P001,2018/1/5,40,P001C-072
830,C018,常州市,C-018,张常州,P001,2018/1/5,24,P001C-018
832,C072,贵阳市,C-074,赵贵阳,P001,2018/1/5,49,P001C-074
833,C040,宿迁市,C-040,李宿迁,P001,2018/1/5,82,P001C-040
834,C023,嘉兴市,C-023,郑嘉兴,P001,2018/1/5,38,P001C-023
838,C013,临汾市,C-013,王临汾,P001,2018/1/6,22,P001C-013
840,C027,南京市,C-027,李南京,P001,2018/1/7,19,P001C-027
841,C067,郑州市,C-067,王郑州,P001,2018/1/7,93,P001C-067
842,C008,大同市,C-008,吴大同,P001,2018/1/8,98,P001C-008
846,C063,信阳市,C-063,陈信阳,P001,2018/1/8,74,P001C-063
848,C043,扬州市,C-043,刘扬州,P001,2018/1/8,24,P001C-043
850,C073,昆明市,C-075,李昆明,P001,2018/1/8,21,P001C-075
851,C072,贵阳市,C-074,赵贵阳,P001,2018/1/8,39,P001C-074
852,C071,成都市,C-073,陈成都,P001,2018/1/8,53,P001C-073
853,C057,洛阳市,C-057,郑洛阳,P001,2018/1/8,63,P001C-057
854,C065,宜昌市,C-065,吴宜昌,P001,2018/1/8,33,P001C-065
855,C050,南宁市,C-050,王南宁,P001,2018/1/8,36,P001C-050
856,C010,晋城市,C-010,王晋城,P001,2018/1/8,71,P001C-010
857,C046,广州市,C-046,李广州,P001,2018/1/8,28,P001C-046
860,C069,兰州市,C-069,李兰州,P001,2018/1/8,42,P001C-069
862,C031,三明市,C-031,周三明,P001,2018/1/8,18,P001C-031
863,C064,许昌市,C-064,王许昌,P001,2018/1/8,0,P001C-064
865,C073,昆明市,C-075,李昆明,P001,2018/1/8,15,P001C-075
866,C005,沧州市,C-005,周沧州,P001,2018/1/8,24,P001C-005
867,C009,邯郸市,C-009,周邯郸,P001,2018/1/8,2,P001C-009
868,C019,福州市,C-019,王福州,P001,2018/1/8,10,P001C-019
869,C043,扬州市,C-043,刘扬州,P001,2018/1/8,14,P001C-043
870,C020,杭州市,C-020,张杭州,P001,2018/1/8,45,P001C-020
871,C061,武汉市,C-061,叶武汉,P001,2018/1/8,31,P001C-061
873,C042,盐城市,C-042,张盐城,P001,2018/1/8,47,P001C-042
875,C022,淮安市,C-022,赵淮安,P001,2018/1/8,45,P001C-022
876,C002,长春市,C-002,赵长春,P001,2018/1/8,20,P001C-002
877,C039,无锡市,C-039,吴无锡,P001,2018/1/8,70,P001C-039
878,C028,南通市,C-028,王南通,P001,2018/1/9,44,P001C-028
879,C060,邵阳市,C-060,赵邵阳,P001,2018/1/9,86,P001C-060
880,C035,苏州市,C-035,陈苏州,P001,2018/1/9,32,P001C-035
881,C007,赤峰市,C-007,孙赤峰,P001,2018/1/9,34,P001C-007
883,C056,开封市,C-056,王开封,P001,2018/1/9,42,P001C-056
885,C033,上海市,C-033,王上海,P001,2018/1/9,29,P001C-033
886,C073,昆明市,C-075,李昆明,P001,2018/1/9,56,P001C-075
888,C071,成都市,C-073,陈成都,P001,2018/1/9,24,P001C-073
889,C027,南京市,C-027,李南京,P001,2018/1/9,7,P001C-027
891,C037,泰州市,C-037,李泰州,P001,2018/1/9,6,P001C-037
893,C066,岳阳市,C-066,李岳阳,P001,2018/1/9,4,P001C-066
894,C006,承德市,C-006,李承德,P001,2018/1/9,72,P001C-006
895,C018,常州市,C-018,张常州,P001,2018/1/9,7,P001C-018
896,C053,抚州市,C-053,周抚州,P001,2018/1/9,49,P001C-053
897,C027,南京市,C-027,李南京,P001,2018/1/9,4,P001C-027
898,C067,郑州市,C-067,王郑州,P001,2018/1/9,89,P001C-067
900,C055,衡阳市,C-055,吴衡阳,P001,2018/1/9,42,P001C-055
901,C068,株洲市,C-068,孙株洲,P001,2018/1/9,24,P001C-068
902,C041,徐州市,C-041,孙徐州,P001,2018/1/9,38,P001C-041
903,C050,南宁市,C-050,王南宁,P001,2018/1/9,82,P001C-050
904,C013,临汾市,C-013,王临汾,P001,2018/1/9,74,P001C-013
905,C025,六安市,C-025,王六安,P001,2018/1/9,35,P001C-025
911,C028,南通市,C-028,王南通,P001,2018/1/9,20,P001C-028
913,C070,西安市,C-072,王西安,P001,2018/1/9,83,P001C-072
915,C072,贵阳市,C-074,赵贵阳,P001,2018/1/9,77,P001C-074
919,C051,中山市,C-051,张中山,P001,2018/1/10,18,P001C-051
921,C017,安庆市,C-017,郑安庆,P001,2018/1/10,14,P001C-017
922,C063,信阳市,C-063,陈信阳,P001,2018/1/10,80,P001C-063
923,C043,扬州市,C-043,刘扬州,P001,2018/1/10,71,P001C-043
924,C073,昆明市,C-075,李昆明,P001,2018/1/10,12,P001C-075
925,C071,成都市,C-073,陈成都,P001,2018/1/10,6,P001C-073
926,C050,南宁市,C-050,王南宁,P001,2018/1/10,9,P001C-050
927,C054,赣州市,C-054,孙赣州,P001,2018/1/10,39,P001C-054
928,C010,晋城市,C-010,王晋城,P001,2018/1/10,37,P001C-010
929,C046,广州市,C-046,李广州,P001,2018/1/10,11,P001C-046
931,C029,莆田市,C-029,李莆田,P001,2018/1/10,11,P001C-029
933,C062,孝感市,C-062,郑孝感,P001,2018/1/10,52,P001C-062
934,C073,昆明市,C-075,李昆明,P001,2018/1/10,3,P001C-075
935,C005,沧州市,C-005,周沧州,P001,2018/1/10,96,P001C-005
936,C019,福州市,C-019,王福州,P001,2018/1/10,39,P001C-019
938,C020,杭州市,C-020,张杭州,P001,2018/1/10,49,P001C-020
939,C052,郴州市,C-052,李郴州,P001,2018/1/10,39,P001C-052
940,C061,武汉市,C-061,叶武汉,P001,2018/1/10,12,P001C-061
941,C018,常州市,C-018,张常州,P001,2018/1/10,16,P001C-018
942,C042,盐城市,C-042,张盐城,P001,2018/1/10,99,P001C-042
945,C040,宿迁市,C-040,李宿迁,P001,2018/1/10,26,P001C-040
946,C039,无锡市,C-039,吴无锡,P001,2018/1/10,23,P001C-039
947,C008,大同市,C-008,吴大同,P001,2018/1/11,1,P001C-008
948,C028,南通市,C-028,王南通,P001,2018/1/11,12,P001C-028
949,C035,苏州市,C-035,陈苏州,P001,2018/1/11,12,P001C-035
951,C072,贵阳市,C-074,赵贵阳,P001,2018/1/11,31,P001C-074
952,C065,宜昌市,C-065,吴宜昌,P001,2018/1/11,12,P001C-065
954,C071,成都市,C-073,陈成都,P001,2018/1/11,77,P001C-073
955,C027,南京市,C-027,李南京,P001,2018/1/11,16,P001C-027
957,C037,泰州市,C-037,李泰州,P001,2018/1/11,42,P001C-037
959,C066,岳阳市,C-066,李岳阳,P001,2018/1/11,73,P001C-066
960,C069,兰州市,C-069,李兰州,P001,2018/1/11,87,P001C-069
961,C018,常州市,C-018,张常州,P001,2018/1/11,36,P001C-018
962,C016,运城市,C-016,刘运城,P001,2018/1/11,35,P001C-016
963,C014,天津市,C-014,张天津,P001,2018/1/11,6,P001C-014
964,C067,郑州市,C-067,王郑州,P001,2018/1/11,41,P001C-067
966,C055,衡阳市,C-055,吴衡阳,P001,2018/1/11,34,P001C-055
967,C068,株洲市,C-068,孙株洲,P001,2018/1/11,97,P001C-068
968,C031,三明市,C-031,周三明,P001,2018/1/11,54,P001C-031
969,C050,南宁市,C-050,王南宁,P001,2018/1/11,70,P001C-050
970,C013,临汾市,C-013,王临汾,P001,2018/1/11,4,P001C-013
972,C043,扬州市,C-043,刘扬州,P001,2018/1/11,52,P001C-043
974,C028,南通市,C-028,王南通,P001,2018/1/11,21,P001C-028
975,C070,西安市,C-072,王西安,P001,2018/1/11,9,P001C-072
977,C072,贵阳市,C-074,赵贵阳,P001,2018/1/11,82,P001C-074
978,C022,淮安市,C-022,赵淮安,P001,2018/1/11,1,P001C-022
979,C038,温州市,C-038,周温州,P001,2018/1/11,18,P001C-038
981,C051,中山市,C-051,张中山,P001,2018/1/12,34,P001C-051
983,C017,安庆市,C-017,郑安庆,P001,2018/1/12,19,P001C-017
984,C043,扬州市,C-043,刘扬州,P001,2018/1/12,97,P001C-043
986,C073,昆明市,C-075,李昆明,P001,2018/1/12,44,P001C-075
987,C056,开封市,C-056,王开封,P001,2018/1/12,8,P001C-056
988,C071,成都市,C-073,陈成都,P001,2018/1/12,11,P001C-073
989,C057,洛阳市,C-057,郑洛阳,P001,2018/1/12,41,P001C-057
990,C050,南宁市,C-050,王南宁,P001,2018/1/12,26,P001C-050
991,C073,昆明市,C-075,李昆明,P001,2018/1/12,70,P001C-075
993,C036,台州市,C-036,孙台州,P001,2018/1/12,40,P001C-036
994,C046,广州市,C-046,李广州,P001,2018/1/12,14,P001C-046
998,C015,邢台市,C-015,李邢台,P001,2018/1/12,21,P001C-015
999,C012,廊坊市,C-012,王廊坊,P001,2018/1/12,24,P001C-012
1000,C025,六安市,C-025,王六安,P001,2018/1/12,37,P001C-025
1001,C073,昆明市,C-075,李昆明,P001,2018/1/12,40,P001C-075
1002,C005,沧州市,C-005,周沧州,P001,2018/1/12,15,P001C-005
1005,C009,邯郸市,C-009,周邯郸,P001,2018/1/12,93,P001C-009
1006,C019,福州市,C-019,王福州,P001,2018/1/12,9,P001C-019
1007,C020,杭州市,C-020,张杭州,P001,2018/1/12,13,P001C-020
1008,C061,武汉市,C-061,叶武汉,P001,2018/1/12,92,P001C-061
1010,C042,盐城市,C-042,张盐城,P001,2018/1/12,1,P001C-042
1012,C069,兰州市,C-069,李兰州,P001,2018/1/12,21,P001C-069
1014,C011,晋中市,C-011,赵晋中,P001,2018/1/12,18,P001C-011
1016,C027,南京市,C-027,李南京,P001,2018/1/13,27,P001C-027
1018,C067,郑州市,C-067,王郑州,P001,2018/1/13,74,P001C-067
1020,C058,漯河市,C-058,张漯河,P001,2018/1/13,53,P001C-058
1021,C028,南通市,C-028,王南通,P001,2018/1/13,36,P001C-028
1022,C060,邵阳市,C-060,赵邵阳,P001,2018/1/14,41,P001C-060
1023,C055,衡阳市,C-055,吴衡阳,P001,2018/1/14,93,P001C-055
1024,C035,苏州市,C-035,陈苏州,P001,2018/1/15,14,P001C-035
1026,C063,信阳市,C-063,陈信阳,P001,2018/1/15,47,P001C-063
1028,C007,赤峰市,C-007,孙赤峰,P001,2018/1/15,34,P001C-007
1029,C057,洛阳市,C-057,郑洛阳,P001,2018/1/15,90,P001C-057
1032,C037,泰州市,C-037,李泰州,P001,2018/1/15,31,P001C-037
1034,C069,兰州市,C-069,李兰州,P001,2018/1/15,13,P001C-069
1035,C018,常州市,C-018,张常州,P001,2018/1/15,78,P001C-018
1037,C014,天津市,C-014,张天津,P001,2018/1/15,34,P001C-014
1038,C027,南京市,C-027,李南京,P001,2018/1/15,6,P001C-027
1040,C067,郑州市,C-067,王郑州,P001,2018/1/15,66,P001C-067
1042,C041,徐州市,C-041,孙徐州,P001,2018/1/15,87,P001C-041
1044,C050,南宁市,C-050,王南宁,P001,2018/1/15,25,P001C-050
1046,C005,沧州市,C-005,周沧州,P001,2018/1/15,13,P001C-005
1050,C070,西安市,C-072,王西安,P001,2018/1/15,81,P001C-072
1053,C024,金华市,C-024,张金华,P001,2018/1/15,96,P001C-024
1054,C072,贵阳市,C-074,赵贵阳,P001,2018/1/15,27,P001C-074
1055,C022,淮安市,C-022,赵淮安,P001,2018/1/15,20,P001C-022
1057,C011,晋中市,C-011,赵晋中,P001,2018/1/15,40,P001C-011
1058,C040,宿迁市,C-040,李宿迁,P001,2018/1/15,89,P001C-040
1059,C038,温州市,C-038,周温州,P001,2018/1/15,15,P001C-038
1060,C039,无锡市,C-039,吴无锡,P001,2018/1/15,23,P001C-039
1061,C028,南通市,C-028,王南通,P001,2018/1/16,18,P001C-028
1062,C017,安庆市,C-017,郑安庆,P001,2018/1/16,2,P001C-017
1063,C048,惠州市,C-048,孙惠州,P001,2018/1/16,25,P001C-048
1064,C073,昆明市,C-075,李昆明,P001,2018/1/16,88,P001C-075
1065,C071,成都市,C-073,陈成都,P001,2018/1/16,19,P001C-073
1066,C065,宜昌市,C-065,吴宜昌,P001,2018/1/16,21,P001C-065
1067,C033,上海市,C-033,王上海,P001,2018/1/16,49,P001C-033
1068,C073,昆明市,C-075,李昆明,P001,2018/1/16,97,P001C-075
1070,C036,台州市,C-036,孙台州,P001,2018/1/16,89,P001C-036
1071,C010,晋城市,C-010,王晋城,P001,2018/1/16,51,P001C-010
1072,C027,南京市,C-027,李南京,P001,2018/1/16,49,P001C-027
1074,C066,岳阳市,C-066,李岳阳,P001,2018/1/16,87,P001C-066
1076,C046,广州市,C-046,李广州,P001,2018/1/16,99,P001C-046
1078,C006,承德市,C-006,李承德,P001,2018/1/16,48,P001C-006
1080,C015,邢台市,C-015,李邢台,P001,2018/1/16,34,P001C-015
1081,C053,抚州市,C-053,周抚州,P001,2018/1/16,20,P001C-053
1083,C031,三明市,C-031,周三明,P001,2018/1/16,90,P001C-031
1084,C013,临汾市,C-013,王临汾,P001,2018/1/16,93,P001C-013
1085,C025,六安市,C-025,王六安,P001,2018/1/16,97,P001C-025
1086,C073,昆明市,C-075,李昆明,P001,2018/1/16,11,P001C-075
1087,C049,梅州市,C-049,吴梅州,P001,2018/1/16,92,P001C-049
1091,C019,福州市,C-019,王福州,P001,2018/1/16,20,P001C-019
1093,C020,杭州市,C-020,张杭州,P001,2018/1/16,38,P001C-020
1094,C028,南通市,C-028,王南通,P001,2018/1/16,15,P001C-028
1095,C061,武汉市,C-061,叶武汉,P001,2018/1/16,49,P001C-061
1097,C018,常州市,C-018,张常州,P001,2018/1/16,9,P001C-018
1098,C042,盐城市,C-042,张盐城,P001,2018/1/16,82,P001C-042
1099,C002,长春市,C-002,赵长春,P001,2018/1/16,36,P001C-002
1100,C023,嘉兴市,C-023,郑嘉兴,P001,2018/1/16,33,P001C-023
1103,C035,苏州市,C-035,陈苏州,P001,2018/1/17,9,P001C-035
1108,C007,赤峰市,C-007,孙赤峰,P001,2018/1/17,1,P001C-007
1109,C043,扬州市,C-043,刘扬州,P001,2018/1/17,52,P001C-043
1113,C037,泰州市,C-037,李泰州,P001,2018/1/17,62,P001C-037
1115,C069,兰州市,C-069,李兰州,P001,2018/1/17,26,P001C-069
1116,C018,常州市,C-018,张常州,P001,2018/1/17,96,P001C-018
1117,C016,运城市,C-016,刘运城,P001,2018/1/17,32,P001C-016
1118,C067,郑州市,C-067,王郑州,P001,2018/1/17,49,P001C-067
1119,C050,南宁市,C-050,王南宁,P001,2018/1/17,74,P001C-050
1121,C005,沧州市,C-005,周沧州,P001,2018/1/17,19,P001C-005
1126,C070,西安市,C-072,王西安,P001,2018/1/17,15,P001C-072
1128,C072,贵阳市,C-074,赵贵阳,P001,2018/1/17,73,P001C-074
1129,C022,淮安市,C-022,赵淮安,P001,2018/1/17,11,P001C-022
1131,C011,晋中市,C-011,赵晋中,P001,2018/1/17,38,P001C-011
1132,C040,宿迁市,C-040,李宿迁,P001,2018/1/17,44,P001C-040
1133,C039,无锡市,C-039,吴无锡,P001,2018/1/17,79,P001C-039
1134,C008,大同市,C-008,吴大同,P001,2018/1/18,78,P001C-008
1135,C001,本溪市,C-001,王本溪,P001,2018/1/18,7,P001C-001
1136,C063,信阳市,C-063,陈信阳,P001,2018/1/18,78,P001C-063
1137,C073,昆明市,C-075,李昆明,P001,2018/1/18,5,P001C-075
1140,C071,成都市,C-073,陈成都,P001,2018/1/18,12,P001C-073
1141,C057,洛阳市,C-057,郑洛阳,P001,2018/1/18,13,P001C-057
1143,C073,昆明市,C-075,李昆明,P001,2018/1/18,80,P001C-075
1145,C010,晋城市,C-010,王晋城,P001,2018/1/18,95,P001C-010
1147,C027,南京市,C-027,李南京,P001,2018/1/18,35,P001C-027
1149,C046,广州市,C-046,李广州,P001,2018/1/18,93,P001C-046
1151,C006,承德市,C-006,李承德,P001,2018/1/18,19,P001C-006
1153,C015,邢台市,C-015,李邢台,P001,2018/1/18,89,P001C-015
1155,C014,天津市,C-014,张天津,P001,2018/1/18,27,P001C-014
1156,C027,南京市,C-027,李南京,P001,2018/1/18,3,P001C-027
1158,C033,上海市,C-033,王上海,P001,2018/1/18,35,P001C-033
1160,C025,六安市,C-025,王六安,P001,2018/1/18,17,P001C-025
1162,C073,昆明市,C-075,李昆明,P001,2018/1/18,80,P001C-075
1164,C019,福州市,C-019,王福州,P001,2018/1/18,29,P001C-019
1165,C020,杭州市,C-020,张杭州,P001,2018/1/18,17,P001C-020
1166,C028,南通市,C-028,王南通,P001,2018/1/18,11,P001C-028
1167,C061,武汉市,C-061,叶武汉,P001,2018/1/18,57,P001C-061
1172,C028,南通市,C-028,王南通,P001,2018/1/19,31,P001C-028
1174,C051,中山市,C-051,张中山,P001,2018/1/19,42,P001C-051
1175,C035,苏州市,C-035,陈苏州,P001,2018/1/19,49,P001C-035
1177,C017,安庆市,C-017,郑安庆,P001,2018/1/19,62,P001C-017
1181,C072,贵阳市,C-074,赵贵阳,P001,2018/1/19,6,P001C-074
1183,C065,宜昌市,C-065,吴宜昌,P001,2018/1/19,8,P001C-065
1185,C050,南宁市,C-050,王南宁,P001,2018/1/19,24,P001C-050
1186,C054,赣州市,C-054,孙赣州,P001,2018/1/19,40,P001C-054
1187,C033,上海市,C-033,王上海,P001,2018/1/19,3,P001C-033
1188,C036,台州市,C-036,孙台州,P001,2018/1/19,42,P001C-036
1190,C037,泰州市,C-037,李泰州,P001,2018/1/19,31,P001C-037
1192,C018,常州市,C-018,张常州,P001,2018/1/19,26,P001C-018
1194,C067,郑州市,C-067,王郑州,P001,2018/1/19,94,P001C-067
1195,C068,株洲市,C-068,孙株洲,P001,2018/1/19,44,P001C-068
1196,C041,徐州市,C-041,孙徐州,P001,2018/1/19,89,P001C-041
1197,C050,南宁市,C-050,王南宁,P001,2018/1/19,19,P001C-050
1199,C013,临汾市,C-013,王临汾,P001,2018/1/19,73,P001C-013
1201,C045,镇江市,C-045,王镇江,P001,2018/1/19,6,P001C-045
1202,C005,沧州市,C-005,周沧州,P001,2018/1/19,0,P001C-005
1203,C044,漳州市,C-044,吴漳州,P001,2018/1/19,34,P001C-044
1204,C032,厦门市,C-032,吴厦门,P001,2018/1/19,19,P001C-032
1208,C070,西安市,C-072,王西安,P001,2018/1/19,14,P001C-072
1210,C018,常州市,C-018,张常州,P001,2018/1/19,83,P001C-018
1211,C042,盐城市,C-042,张盐城,P001,2018/1/19,37,P001C-042
1212,C072,贵阳市,C-074,赵贵阳,P001,2018/1/19,18,P001C-074
1213,C022,淮安市,C-022,赵淮安,P001,2018/1/19,58,P001C-022
1214,C038,温州市,C-038,周温州,P001,2018/1/19,44,P001C-038
1216,C039,无锡市,C-039,吴无锡,P001,2018/1/19,38,P001C-039
1218,C057,洛阳市,C-057,郑洛阳,P001,2018/1/20,23,P001C-057
1220,C027,南京市,C-027,李南京,P001,2018/1/20,16,P001C-027
1223,C043,扬州市,C-043,刘扬州,P001,2018/1/20,42,P001C-043
1225,C073,昆明市,C-075,李昆明,P001,2018/1/21,3,P001C-075
1226,C010,晋城市,C-010,王晋城,P001,2018/1/21,80,P001C-010
1227,C067,郑州市,C-067,王郑州,P001,2018/1/21,21,P001C-067
1229,C009,邯郸市,C-009,周邯郸,P001,2018/1/21,28,P001C-009
1230,C008,大同市,C-008,吴大同,P001,2018/1/22,84,P001C-008
1232,C017,安庆市,C-017,郑安庆,P001,2018/1/22,35,P001C-017
1233,C063,信阳市,C-063,陈信阳,P001,2018/1/22,80,P001C-063
1235,C007,赤峰市,C-007,孙赤峰,P001,2018/1/22,83,P001C-007
1236,C043,扬州市,C-043,刘扬州,P001,2018/1/22,59,P001C-043
1237,C056,开封市,C-056,王开封,P001,2018/1/22,19,P001C-056
1239,C071,成都市,C-073,陈成都,P001,2018/1/22,10,P001C-073
1241,C073,昆明市,C-075,李昆明,P001,2018/1/22,55,P001C-075
1243,C046,广州市,C-046,李广州,P001,2018/1/22,7,P001C-046
1245,C069,兰州市,C-069,李兰州,P001,2018/1/22,62,P001C-069
1246,C016,运城市,C-016,刘运城,P001,2018/1/22,21,P001C-016
1247,C041,徐州市,C-041,孙徐州,P001,2018/1/22,11,P001C-041
1248,C031,三明市,C-031,周三明,P001,2018/1/22,44,P001C-031
1250,C050,南宁市,C-050,王南宁,P001,2018/1/22,14,P001C-050
1252,C013,临汾市,C-013,王临汾,P001,2018/1/22,49,P001C-013
1253,C025,六安市,C-025,王六安,P001,2018/1/22,27,P001C-025
1255,C073,昆明市,C-075,李昆明,P001,2018/1/22,36,P001C-075
1256,C005,沧州市,C-005,周沧州,P001,2018/1/22,36,P001C-005
1259,C020,杭州市,C-020,张杭州,P001,2018/1/22,56,P001C-020
1260,C028,南通市,C-028,王南通,P001,2018/1/22,3,P001C-028
1262,C061,武汉市,C-061,叶武汉,P001,2018/1/22,4,P001C-061
1265,C019,福州市,C-019,王福州,P001,2018/1/22,9,P001C-019
1267,C024,金华市,C-024,张金华,P001,2018/1/22,83,P001C-024
1268,C002,长春市,C-002,赵长春,P001,2018/1/22,76,P001C-002
1269,C011,晋中市,C-011,赵晋中,P001,2018/1/22,37,P001C-011
1271,C023,嘉兴市,C-023,郑嘉兴,P001,2018/1/22,48,P001C-023
1272,C035,苏州市,C-035,陈苏州,P001,2018/1/23,26,P001C-035
1274,C048,惠州市,C-048,孙惠州,P001,2018/1/23,73,P001C-048
1276,C073,昆明市,C-075,李昆明,P001,2018/1/23,71,P001C-075
1277,C072,贵阳市,C-074,赵贵阳,P001,2018/1/23,61,P001C-074
1278,C057,洛阳市,C-057,郑洛阳,P001,2018/1/23,37,P001C-057
1279,C010,晋城市,C-010,王晋城,P001,2018/1/23,14,P001C-010
1281,C027,南京市,C-027,李南京,P001,2018/1/23,90,P001C-027
1283,C037,泰州市,C-037,李泰州,P001,2018/1/23,44,P001C-037
1285,C006,承德市,C-006,李承德,P001,2018/1/23,29,P001C-006
1286,C018,常州市,C-018,张常州,P001,2018/1/23,58,P001C-018
1288,C014,天津市,C-014,张天津,P001,2018/1/23,46,P001C-014
1289,C067,郑州市,C-067,王郑州,P001,2018/1/23,67,P001C-067
1291,C064,许昌市,C-064,王许昌,P001,2018/1/23,65,P001C-064
